Year,Region,NMFS Name,Scientific Name,Pounds,Dollars
2018,Gulf,"CORAL, DEEPWATER ",SWIFTIA EXSERTA,133,564
2018,Gulf,"CORALLIMORPH, DISCOSOMA **",DISCOSOMA,"1,495","7,193"
2018,Gulf,"CORALLIMORPH, FLORIDA ",RICORDEA,"9,462","36,767"
2018,Gulf,CORALLIMORPHARIA **,CORALLIMORPHARIA,333,"2,041"
2018,Gulf,CORALLINACEAE **,CORALLINACEAE,NA,NA
2018,Gulf,CORALS **,ANTHOZOA,"13,127","46,837"
2018,Gulf,COTTONWICK ,HAEMULON MELANURUM,107,"1,157"
2018,Gulf,"COWFISH, HONEYCOMBED ",ACANTHOSTRACION POLYGONIUS,134,455
2018,Gulf,"COWFISH, SCRAWLED ",ACANTHOSTRACION QUADRICORNIS,"2,216","2,489"
2018,Gulf,"COWRIE, ATLANTIC DEER ",CYPRAEA CERVUS,52,101
2018,Gulf,"COWRIE, MEASLED ",CYPRAEA ZEBRA,NA,NA
2018,Gulf,"CRAB, BLUE ",CALLINECTES SAPIDUS,"53,191,364","76,393,182"
2018,Gulf,"CRAB, FALSE ARROW ",METOPORHAPHIS CALCARATA,"3,472","1,421"
2018,Gulf,"CRAB, FLORIDA STONE ",MENIPPE MERCENARIA,NA,NA
2018,Gulf,"CRAB, FURCATE SPIDER ",STENOCIONOPS FURCATUS,"2,767","4,512"
2018,Gulf,"CRAB, GOLDEN DEEPSEA ",CHACEON FENNERI,NA,NA
2018,Gulf,"CRAB, GREEN CLINGING ",MITHRACULUS SCULPTUS,"127,078","73,990"
2018,Gulf,"CRAB, HERMIT, GIANT ",PETROCHIRUS,176,471
2018,Gulf,"CRAB, HERMIT, ORANGECLAW ",CALCINUS,"10,237","3,411"
2018,Gulf,"CRAB, HERMIT, POLKADOTTED ",PHIMOCHIRUS OPERCULATUS,"1,263","1,018"
2018,Gulf,"CRAB, HERMIT, STAREYE ",DARDANUS,NA,NA
2018,Gulf,"CRAB, HERMIT, THINSTRIPE ",CLIBANARIUS VITTATUS,"1,133",298
2018,Gulf,"CRAB, HERMIT, TRICOLOR ",CLIBANARIUS TRICOLOR,"1,442,157","147,442"
2018,Gulf,"CRAB, HORSESHOE ",LIMULUS POLYPHEMUS,"14,198","22,527"
2018,Gulf,"CRAB, MITHRACULUS RUBER ",MITHRACULUS RUBER,NA,NA
2018,Gulf,"CRAB, NIMBLE SPRAY ",PERCNON GIBBESI,"1,082","2,367"
2018,Gulf,"CRAB, PAGURISTES ERYTHROPS ",PAGURISTES ERYTHROPS,NA,NA
2018,Gulf,"CRAB, PAGURISTES PUNCTICEPS ",PAGURISTES PUNCTICEPS,"1,312",211
2018,Gulf,"CRAB, RED DEEPSEA ",CHACEON QUINQUEDENS,NA,NA
2018,Gulf,"CRAB, RED-RIDGED CLINGING ",MITHRACULUS FORCEPS,692,"1,084"
2018,Gulf,"CRAB, REDFINGER RUBBLE ",ERIPHIA GONAGRA,122,668
2018,Gulf,"CRAB, SPOTTED PORCELAIN ",PORCELLANA SAYANA,"7,485","6,167"
2018,Gulf,"CRAB, YELLOWLINE ARROW ",STENORHYNCHUS SETICORNIS,"1,980","3,341"
2018,Gulf,"CRABS, BOX **",CALAPPIDAE,NA,NA
2018,Gulf,"CRABS, BRACHYURA **",BRACHYURA,"13,279","26,550"
2018,Gulf,"CRABS, CORAL SPIDER **",MITHRAX,NA,NA
2018,Gulf,"CRABS, DECAPODA (ORDER) **",DECAPODA,"35,720","28,425"
2018,Gulf,"CRABS, FIDDLER **",UCA,"446,438","58,216"
2018,Gulf,"CRABS, HERMIT, PAGUROIDEA (SUPERFAMILY) **",PAGUROIDEA,"16,452","23,489"
2018,Gulf,"CRABS, MITHRACULUS **",MITHRACULUS ,NA,NA
2018,Gulf,"CRABS, SAND **",HIPPIDAE,"4,764","37,760"
2018,Gulf,"CRABS, STONE **",MENIPPE,"2,126,259","32,361,162"
2018,Gulf,CREOLE-FISH ,PARANTHIAS FURCIFER,NA,NA
2018,Gulf,"CROAKER, ATLANTIC ",MICROPOGONIAS UNDULATUS,"141,554","1,367,306"
2018,Gulf,CRUSTACEANS **,CRUSTACEA,"735,500","7,400"
2018,Gulf,CUBBYU ,PAREQUES UMBROSUS,NA,NA
2018,Gulf,"CUCUMBER, FLORIDA SEA ",HOLOTHURIA FLORIDANA,"5,869","5,191"
2018,Gulf,"CUCUMBERS, OTHER SEA **",HOLOTHURIIDAE,717,"2,411"
2018,Gulf,CUSK ,BROSME BROSME,NA,NA
2018,Gulf,"CUTLASSFISH, ATLANTIC ",TRICHIURUS LEPTURUS,"8,413","9,642"
2018,Gulf,"DAMSELFISH, BICOLOR ",STEGASTES PARTITUS,68,113
2018,Gulf,"DAMSELFISH, COCOA ",STEGASTES VARIABILIS,24,37
2018,Gulf,"DAMSELFISH, DUSKY ",STEGASTES FUSCUS,NA,NA
2018,Gulf,"DAMSELFISH, LONGFIN ",STEGASTES DIENCAEUS,NA,NA
2018,Gulf,"DAMSELFISH, YELLOWTAIL ",MICROSPATHODON CHRYSURUS,47,224
2018,Gulf,DAMSELFISHES **,POMACENTRIDAE,NA,NA
2018,Gulf,"DICK, SLIPPERY ",HALICHOERES BIVITTATUS,168,306
2018,Gulf,DOCTORFISH ,ACANTHURUS CHIRURGUS,62,203
2018,Gulf,"DOLLAR, SAND ",CLYPEASTER SUBDEPRESSUS,NA,NA
2018,Gulf,"DOLLARS, KEYHOLE SAND **",MELLITA,"597,403","56,720"
2018,Gulf,"DOLLARS, OTHER SAND **",MELLITIDAE,NA,NA
2018,Gulf,DOLPHINFISH ,CORYPHAENA HIPPURUS,"56,380","135,759"
2018,Gulf,"DORIS, FLORIDA REGAL ",HYPSELODORIS EDENTICULATA,183,235
2018,Gulf,DRAGONETS **,CALLIONYMIDAE,NA,NA
2018,Gulf,"DRIFTFISH, BLACK ",HYPEROGLYPHE BYTHITES,"2,058","3,845"
2018,Gulf,"DRUM, BLACK ",POGONIAS CROMIS,"4,235,676","4,362,495"
2018,Gulf,"DRUM, FRESHWATER ",APLODINOTUS GRUNNIENS,"505,926","106,125"
2018,Gulf,"DRUM, RED ",SCIAENOPS OCELLATUS,"47,684","115,502"
2018,Gulf,"DRUM, SPOTTED ",EQUETUS PUNCTATUS,80,"2,840"
2018,Gulf,DRUMS **,SCIAENIDAE,"6,286","2,925"
2018,Gulf,"DURGON, BLACK ",MELICHTHYS NIGER,NA,NA
2018,Gulf,"EEL, GOLDSPOTTED ",MYRICHTHYS OCELLATUS,NA,NA
2018,Gulf,"EEL, MORAY, BLACKEDGE ",GYMNOTHORAX NIGROMARGINATUS,76,364
2018,Gulf,"EEL, MORAY, GOLDENTAIL ",MURAENA MILARIS,14,289
2018,Gulf,"EEL, MORAY, GREEN ",GYMNOTHORAX FUNEBRIS,85,"5,510"
2018,Gulf,"EEL, MORAY, SPOTTED ",GYMNOTHORAX MORINGA,45,265
2018,Gulf,EELS **,ANGUILLIFORMES,NA,NA
2018,Gulf,"EELS, CONGER **",CONGRIDAE,NA,NA
2018,Gulf,"EELS, CUSK **",OPHIDIIDAE,"2,859","4,680"
2018,Gulf,"EELS, MORAY **",MURAENIDAE,114,"1,482"
2018,Gulf,"EELS, SNAKE **",OPHICHTHIDAE,NA,NA
2018,Gulf,ESCOLAR ,LEPIDOCYBIUM FLAVOBRUNNEUM,"33,618","27,779"
2018,Gulf,"FILEFISH, ORANGESPOTTED ",CANTHERHINES PULLUS,20,103
2018,Gulf,"FILEFISH, PYGMY ",STEPHANOLEPIS SETIFER,451,597
2018,Gulf,"FILEFISH, SCRAWLED ",ALUTERUS SCRIPTUS,42,"2,290"
2018,Gulf,"FILEFISH, WHITESPOTTED ",CANTHERHINES MACROCERUS,54,494
2018,Gulf,FILEFISHES **,MONACANTHUS ,110,928
2018,Gulf,FLAMEFISH ,APOGON MACULATUS,"1,150","2,215"
2018,Gulf,FLATFISHES **,PLEURONECTIFORMES,"15,520","46,203"
2018,Gulf,"FLOUNDER, GULF ",PARALICHTHYS ALBIGUTTA,"39,010","140,684"
2018,Gulf,"FLOUNDER, SOUTHERN ",PARALICHTHYS LETHOSTIGMA,"15,180","52,491"
2018,Gulf,"FLOUNDER, SUMMER ",PARALICHTHYS DENTATUS,NA,NA
2018,Gulf,"FLOUNDERS, LEFTEYED **",BOTHIDAE,NA,NA
2018,Gulf,"FLOUNDERS, PARALICHTHYS **",PARALICHTHYS,"94,950","281,816"
2018,Gulf,FLYINGFISHES **,EXOCOETIDAE,NA,NA
2018,Gulf,FORAMS **,FORAMINIFERIDA ,NA,NA
2018,Gulf,"FROG, PIG ",LITHOBATES GRYLIO,NA,NA
2018,Gulf,"FROGFISH, OCELLATED ",ANTENNARIUS OCELLATUS,NA,NA
2018,Gulf,"FROGFISHES, ANTENNARIIDAE (FAMILY) **",ANTENNARIIDAE,NA,NA
2018,Gulf,"GAR, ALLIGATOR ",LEPISOSTEUS SPATULA,"595,992","434,808"
2018,Gulf,"GAR, LONGNOSE ",LEPISOSTEUS OSSEUS,"10,541","4,522"
2018,Gulf,"GAR, SPOTTED ",LEPISOSTEUS OCULATUS,580,328
2018,Gulf,GARFISHES **,LEPISOSTEIDAE,"56,513","59,067"
2018,Gulf,"GOATFISH, SPOTTED ",PSEUDUPENEUS,44,"1,280"
2018,Gulf,"GOATFISH, YELLOW ",MULLOIDICHTHYS MARTINICUS,NA,NA
2018,Gulf,GOATFISHES **,MULLIDAE,"34,319","12,092"
