Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
ODF,9.999999999999997e-6,Other demersal fish,Mesopelagic,Demersal,18601.922317481905,24097.40072684397,17.769746727094173,330551448.21873415,428204707.6973124
ODF,1.4421602258335023e-5,Other demersal fish,Mesopelagic,Demersal,18602.902332724825,24098.742293755087,17.769746727094173,330568862.84138954,428228547.0015404
ODF,2.0798261169761385e-5,Other demersal fish,Mesopelagic,Demersal,18604.34893295187,24100.636166330016,17.769746727094173,330594568.5610395,428262200.63753027
ODF,2.9994425025527246e-5,Other demersal fish,Mesopelagic,Demersal,18606.447399018176,24103.44415218505,17.769746727094173,330631857.77155316,428312097.8349875
ODF,4.3256766768560436e-5,Other demersal fish,Mesopelagic,Demersal,18609.410124919308,24106.881531260926,17.769746727094173,330684504.66043806,428373179.19057083
ODF,6.238318853177415e-5,Other demersal fish,Mesopelagic,Demersal,18613.382896766983,24112.42230915578,17.769746727094173,330755099.8099758,428471637.4104335
ODF,8.996655326119738e-5,Other demersal fish,Mesopelagic,Demersal,18619.475048886397,24120.08504791795,17.769746727094173,330863355.8101607,428607802.3374731
ODF,1.2974618476863025e-4,Other demersal fish,Mesopelagic,Demersal,18627.861561261023,24131.166263031613,17.769746727094173,331012382.01098144,428804712.72347134
ODF,1.8711478712696313e-4,Other demersal fish,Mesopelagic,Demersal,18639.63199477674,24146.508506503204,17.769746727094173,331221539.63342386,429077340.5041869
ODF,2.698495036598089e-4,Other demersal fish,Mesopelagic,Demersal,18656.040326490245,24169.854513791986,17.769746727094173,331513111.532187,429492193.1407975
ODF,3.891662211390886e-4,Other demersal fish,Mesopelagic,Demersal,18678.425660199326,24198.97277235203,17.769746727094173,331910893.24259883,430009617.2205435
ODF,5.612400453647188e-4,Other demersal fish,Mesopelagic,Demersal,18708.186508386923,24237.742761616686,17.769746727094173,332439735.9772759,430698550.11038864
